codigo,dpto,mpio,mesas_reg,mesas_testigos,cepeda_reg,cepeda_testigos,delta_cepeda,espriella_reg,espriella_testigos,delta_espriella
13032,13,032,99,99,14208,14208,0,4804,4804,0
13033,13,033,63,63,5444,5444,0,6119,6119,0
13034,13,034,45,45,3766,3766,0,5020,5020,0
13037,13,037,261,261,30173,30173,0,21907,21907,0
13040,13,040,97,97,14114,14114,0,7194,7194,0
13043,13,043,75,75,8112,8112,0,7208,7208,0
13046,13,046,92,92,10232,10232,0,5173,5173,0
13049,13,049,67,67,6105,6105,0,6330,6330,0
13052,13,052,30,30,4163,4163,0,945,945,0
13055,13,055,116,116,13661,13661,0,11358,11358,0
13058,13,058,223,223,24717,24717,0,13482,13482,0
13060,13,060,86,86,11745,11745,0,6375,6375,0
13061,13,061,90,90,7983,7983,0,7787,7787,0
15004,15,004,28,28,2924,2924,0,3392,3392,0
15007,15,007,17,17,1188,1188,0,2477,2477,0
15010,15,010,39,39,2976,2976,0,6234,6234,0
15013,15,013,36,36,2370,2370,0,5703,5703,0
15016,15,016,29,29,2294,2294,0,4748,4748,0
15019,15,019,7,7,533,533,0,851,851,0
15022,15,022,10,10,455,455,0,1327,1327,0
15025,15,025,22,22,3126,3126,0,2555,2555,0
15029,15,029,11,11,1411,1411,0,796,796,0
15030,15,030,29,29,2282,2282,0,4502,4502,0
15031,15,031,199,199,21913,21913,0,31004,31004,0
15034,15,034,35,35,929,929,0,5516,5516,0
15037,15,037,44,44,3592,3592,0,6875,6875,0
15040,15,040,19,19,996,996,0,3461,3461,0
15043,15,043,50,50,6502,6502,0,6772,6772,0
15046,15,046,90,90,8575,8575,0,14030,14030,0
15049,15,049,16,16,722,722,0,3408,3408,0
15052,15,052,12,12,554,554,0,1966,1966,0
15055,15,055,355,355,35917,35917,0,57998,57998,0
15058,15,058,25,25,1982,1982,0,4307,4307,0
15061,15,061,36,36,2195,2195,0,6797,6797,0
15064,15,064,50,50,3870,3870,0,8225,8225,0
15067,15,067,71,71,6314,6314,0,9553,9553,0
15070,15,070,15,15,447,447,0,2471,2471,0
15072,15,072,62,62,7298,7298,0,7986,7986,0
15076,15,076,306,306,43913,43913,0,30648,30648,0
15079,15,079,30,30,1335,1335,0,6007,6007,0
15085,15,085,17,17,595,595,0,3336,3336,0
15088,15,088,242,242,33048,33048,0,26702,26702,0
15091,15,091,13,13,1076,1076,0,2052,2052,0
15094,15,094,367,367,34662,34662,0,50349,50349,0
15097,15,097,18,18,831,831,0,2216,2216,0
15100,15,100,38,38,5831,5831,0,3953,3953,0
15103,15,103,26,26,1574,1574,0,4072,4072,0
15106,15,106,9,9,488,488,0,1613,1613,0
15109,15,109,256,256,26524,26524,0,31519,31519,0
15112,15,112,28,28,1662,1662,0,4742,4742,0
15115,15,115,73,73,4941,4941,0,9791,9791,0
15118,15,118,37,37,3838,3838,0,5022,5022,0
15121,15,121,8,8,638,638,0,962,962,0
15124,15,124,16,16,1235,1235,0,3039,3039,0
15127,15,127,15,15,998,998,0,2224,2224,0
15128,15,128,14,14,858,858,0,2493,2493,0
15130,15,130,9,9,269,269,0,1847,1847,0
15132,15,132,20,20,2282,2282,0,2435,2435,0
15133,15,133,9,9,499,499,0,1306,1306,0
15136,15,136,17,17,945,945,0,2661,2661,0
15139,15,139,77,77,8462,8462,0,10072,10072,0
15142,15,142,86,86,7192,7192,0,11805,11805,0
15145,15,145,26,26,1352,1352,0,3429,3429,0
15148,15,148,19,19,626,626,0,3496,3496,0
15151,15,151,42,42,2695,2695,0,7360,7360,0
15154,15,154,23,23,687,687,0,5188,5188,0
15157,15,157,19,19,869,869,0,3839,3839,0
15160,15,160,274,274,40102,40102,0,29486,29486,0
15163,15,163,12,12,565,565,0,2341,2341,0
15166,15,166,25,25,859,859,0,3727,3727,0
15169,15,169,289,289,40213,40213,0,34410,34410,0
15172,15,172,9,9,894,894,0,988,988,0
15175,15,175,34,34,4184,4184,0,4547,4547,0
15178,15,178,19,19,1270,1270,0,2515,2515,0
15181,15,181,11,11,459,459,0,1973,1973,0
15184,15,184,16,16,1306,1306,0,2492,2492,0
15190,15,190,71,71,3939,3939,0,11686,11686,0
15193,15,193,17,17,608,608,0,2414,2414,0
15196,15,196,13,13,1104,1104,0,1733,1733,0
15198,15,198,26,26,1291,1291,0,3783,3783,0
15199,15,199,25,25,3131,3131,0,2784,2784,0
15202,15,202,40,40,3342,3342,0,4421,4421,0
15205,15,205,11,11,421,421,0,1161,1161,0
15208,15,208,14,14,492,492,0,2742,2742,0
15211,15,211,18,18,1487,1487,0,2827,2827,0
15214,15,214,20,20,770,770,0,3230,3230,0
15217,15,217,22,22,1606,1606,0,3282,3282,0
15218,15,218,40,40,3325,3325,0,5352,5352,0
