codigo,dpto,mpio,mesas_total,mesas_escrutadas,censo,votantes,abstencion,nulos,no_marcados,blancos,validos,iván cepeda castro,abelardo de la espriella,,,
07325,07,325,17,17,5716,3987,1729,40,6,86,3941,1199,2656,0,86,0
07328,07,328,25,25,8624,6370,2254,59,11,102,6300,2559,3639,0,102,0
07331,07,331,7,7,2095,1501,594,13,0,24,1488,433,1031,0,24,0
07334,07,334,17,17,5746,4154,1592,14,5,43,4135,798,3294,0,43,0
07337,07,337,35,35,11975,8216,3759,87,12,118,8117,2968,5031,0,118,0
07340,07,340,8,8,2485,1808,677,11,2,18,1795,325,1452,0,18,0
07346,07,346,14,14,4639,3212,1427,13,2,40,3197,820,2337,0,40,0
09001,09,001,1013,1013,348633,242479,106154,3699,299,6100,238481,103619,128762,0,6100,0
09004,09,004,59,59,18959,12016,6943,150,35,182,11831,2232,9417,0,182,0
09007,09,007,92,92,29450,17653,11797,352,57,379,17244,5312,11553,0,379,0
09013,09,013,37,37,11178,6332,4846,100,28,143,6204,1156,4905,0,143,0
09022,09,022,31,31,10328,5754,4574,74,32,108,5648,1976,3564,0,108,0
09034,09,034,140,140,47723,29154,18569,545,64,535,28545,11820,16190,0,535,0
09037,09,037,30,30,9182,5237,3945,67,21,79,5149,1161,3909,0,79,0
09049,09,049,170,170,57276,33410,23866,655,54,460,32701,14956,17285,0,460,0
09052,09,052,19,19,5647,3156,2491,45,19,69,3092,896,2127,0,69,0
09055,09,055,48,48,15388,8693,6695,122,22,170,8549,1799,6580,0,170,0
09058,09,058,26,26,7814,3845,3969,60,11,78,3774,1704,1992,0,78,0
09061,09,061,37,37,12327,7099,5228,89,29,123,6981,1438,5420,0,123,0
09067,09,067,9,9,2359,1285,1074,26,5,34,1254,219,1001,0,34,0
09076,09,076,60,60,19798,11834,7964,253,51,224,11530,3516,7790,0,224,0
09078,09,078,21,21,6716,3487,3229,67,5,81,3415,1222,2112,0,81,0
09079,09,079,40,40,11981,7413,4568,115,37,151,7261,1344,5766,0,151,0
09082,09,082,44,44,14895,8488,6407,160,19,126,8309,3337,4846,0,126,0
